id,image,image_to,plat,lan,para1,para2,link_hero,force_close
int,string,string,string,string,string,string,int,int
1,activity_banner_5512_5.jpg,activity_banner_5512_4.jpg,appiosglobal|googleplay|chrome,jp,2021-5-10-0-0-0,2022-5-15-23-59-59,,
2,activity_icon_5512,activity_icon_5512_jp,appiosglobal|googleplay|chrome,jp,2021-5-10-0-0-0,2022-5-15-23-59-59,,
3,activity_icon_5512_gray,activity_icon_5512_jp_gray,appiosglobal|googleplay|chrome,jp,2021-5-10-0-0-0,2022-5-15-23-59-59,,
4,hero_icon216,hero_icon216_jp,appiosglobal|googleplay|appfb|apphuaweiglobal|fbgame|webgameglobal|chrome,jp,2021-5-10-0-0-0,2022-5-15-23-59-59,216,
5,hero_icon122,hero_icon122_jp,appiosglobal|googleplay|chrome,jp,2021-5-10-0-0-0,2021-12-24-23-59-59,,1
6,hero_icon122_global,hero_icon122_global_jp,appiosglobal|googleplay|chrome,jp,2021-5-10-0-0-0,2021-12-24-23-59-59,,1
7,hero_icon216_global,hero_icon216_global_jp,appiosglobal|googleplay|appfb|apphuaweiglobal|fbgame|webgameglobal|chrome,jp,2021-5-10-0-0-0,2022-5-15-23-59-59,,
8,hero_tachie216,hero_tachie216_jp,appiosglobal|googleplay|appfb|apphuaweiglobal|fbgame|webgameglobal|chrome,jp,2021-5-10-0-0-0,2022-5-15-23-59-59,216,
9,hero_tachie122,hero_tachie122_jp,appiosglobal|googleplay|chrome,jp,2021-5-10-0-0-0,2021-12-24-23-59-59,,1
10,icon_chuchuan02,icon_chuchuan02_jp,appiosglobal|googleplay|chrome,jp,2021-5-10-0-0-0,2022-5-15-23-59-59,,
11,activity_banner_674n.jpg,activity_banner_674n_jp.jpg,appiosglobal|googleplay|chrome,jp,2021-5-10-0-0-0,2022-5-15-23-59-59,,
12,activity_icon_676n,activity_icon_676n_jp,appiosglobal|googleplay|chrome,jp,2021-5-10-0-0-0,2022-5-15-23-59-59,,
13,activity_icon_676n_gray,activity_icon_676n_jp_gray,appiosglobal|googleplay|chrome,jp,2021-5-10-0-0-0,2022-5-15-23-59-59,,
14,icon_hero_new202105n,icon_hero_new202105n_jp,appiosglobal|googleplay|chrome,jp,2021-5-10-0-0-0,2022-5-15-23-59-59,,
15,activity_banner_698.jpg,activity_banner_695_ru.jpg,,ru,2021-6-8-0-0-0,2021-6-16-23-59-59,,
16,activity_icon_695,activity_icon_695_ru,,ru,2021-6-8-0-0-0,2021-6-16-23-59-59,,
17,activity_icon_695_gray,activity_icon_695_ru_gray,,ru,2021-6-8-0-0-0,2021-6-16-23-59-59,,
18,activity_banner_745.jpg,activity_banner_745_jp.jpg,,jp,2021-5-10-0-0-0,2022-5-15-23-59-59,,
22,banner_ActivityNotice1_Other,banner_ActivityNotice1_JP,appiosglobal|googleplay|chrome,jp,2021-12-6-0-0-0,2022-6-1-23-59-59,,
23,banner_ActivityNotice2_Other,banner_ActivityNotice2_JP,appiosglobal|googleplay|chrome,jp,2021-12-6-0-0-0,2022-6-1-23-59-59,,
24,icon_ActivityNotice_Other,icon_ActivityNotice_JP,appiosglobal|googleplay|chrome,jp,2021-12-6-0-0-0,2022-6-1-23-59-59,,
25,japan_linkage_icon1,activity_icon_900015,appiosglobal|googleplay|chrome,jp,2021-12-6-0-0-0,2022-6-1-23-59-59,,
26,japan_linkage_icon1_n,japan_chuchuan_icon,appiosglobal|googleplay|chrome,jp,2021-12-6-0-0-0,2022-6-1-23-59-59,,
27,hero_tachie133,hero_tachie133_jp,appiosglobal|googleplay|appfb|apphuaweiglobal|fbgame|webgameglobal|chrome,jp,2021-12-6-0-0-0,2022-6-1-23-59-59,133,
28,hero_icon133,hero_icon133_jp,appiosglobal|googleplay|appfb|apphuaweiglobal|fbgame|webgameglobal|chrome,jp,2021-12-6-0-0-0,2022-6-1-23-59-59,133,
29,hero_icon134,hero_icon134_jp,appiosglobal|googleplay|appfb|apphuaweiglobal|fbgame|webgameglobal|chrome,jp,2021-12-6-0-0-0,2022-6-1-23-59-59,134,
30,hero_tachie134,hero_tachie134_jp,appiosglobal|googleplay|appfb|apphuaweiglobal|fbgame|webgameglobal|chrome,jp,2021-12-6-0-0-0,2022-6-1-23-59-59,134,
31,icon_Activityjpmain2,icon_Activityjpmain2_jp,appiosglobal|googleplay|appfb|apphuaweiglobal|fbgame|webgameglobal|chrome,jp,2021-12-6-0-0-0,2022-6-1-23-59-59,,
32,bg_Activityjpmain2,bg_Activityjpmain2_jp,appiosglobal|googleplay|appfb|apphuaweiglobal|fbgame|webgameglobal|chrome,jp,2021-12-6-0-0-0,2022-6-1-23-59-59,,
33,castle_face_activity_1791000,castle_face_activity_1791000_jp,appiosglobal|googleplay|appfb|apphuaweiglobal|fbgame|webgameglobal|chrome,jp,2021-12-6-0-0-0,2022-6-1-23-59-59,,
