id,activityId,type,item_id,need_vip_level,price_shop,item_num,off,buy_limit,index
int,int,int,int,int,int,int,int,int,int
1,920,95,323001,0,0,50,0,1,1
2,920,95,323001,3,60,200,1,2,2
3,920,95,1800001,3,90,600,1,4,3
4,920,95,323001,1,240,200,4,10,4
5,920,95,1800001,1,360,600,4,20,5
6,920,95,323001,0,480,200,8,20,6
7,920,95,1800001,0,720,600,8,40,7
8,920,13,2100002,0,0,1,0,1,8
9,920,13,2100002,4,150,10,1,1,9
10,920,13,2100002,3,300,10,2,1,10
11,920,13,2100002,2,600,10,4,10,11
12,920,13,2100002,1,750,10,5,10,12
13,920,13,2100002,0,1050,10,7,40,13
14,920,97,1700203,0,0,1,0,1,14
15,920,97,1700205,4,40,1,1,4,15
16,920,97,1700215,4,40,1,1,4,16
17,920,97,1700205,2,240,1,6,20,17
18,920,97,1700215,2,240,1,6,20,18
19,920,97,1700205,0,320,1,8,60,19
20,920,97,1700215,0,320,1,8,60,20
21,920,28,600002,0,0,1,0,1,21
22,920,28,600002,5,20,1,1,4,22
23,920,28,600002,4,40,1,2,4,23
24,920,28,600002,3,100,1,5,20,24
25,920,28,600002,2,120,1,6,20,25
26,920,28,600002,1,140,1,7,60,26
27,920,28,600002,0,160,1,8,60,27
28,920,96,2300003,0,0,1,0,1,28
29,920,96,2300003,5,40,1,1,4,29
30,920,96,1700205,5,40,1,1,4,30
31,920,96,2300003,2,200,1,5,20,31
32,920,96,1700205,2,240,1,6,20,32
33,920,96,2300003,0,280,1,7,60,33
34,920,96,1700205,0,320,1,8,60,34
35,920,37,1700203,0,0,2,0,1,35
36,920,37,2100005,6,40,1,1,4,36
37,920,37,2300003,6,40,1,1,4,37
38,920,37,1700205,6,40,1,1,4,38
39,920,37,2100005,3,200,1,5,20,39
40,920,37,2300003,3,240,1,6,20,40
41,920,37,1700205,3,280,1,7,20,41
42,920,37,2100005,0,280,1,7,40,42
43,920,37,2300003,0,320,1,8,40,43
44,920,37,1700205,0,360,1,9,40,44
45,888,95,323001,0,0,50,0,1,1
46,888,95,323001,3,60,200,1,2,2
47,888,95,1800001,3,90,600,1,4,3
48,888,95,323001,1,240,200,4,10,4
49,888,95,1800001,1,360,600,4,20,5
50,888,95,323001,0,480,200,8,20,6
51,888,95,1800001,0,720,600,8,40,7
52,888,13,2100002,0,0,1,0,1,8
53,888,13,2100002,4,150,10,1,1,9
54,888,13,2100002,3,300,10,2,1,10
55,888,13,2100002,2,600,10,4,10,11
56,888,13,2100002,1,750,10,5,10,12
57,888,13,2100002,0,1050,10,7,40,13
58,888,97,1700203,0,0,1,0,1,14
59,888,97,1700205,4,40,1,1,4,15
60,888,97,1700215,4,40,1,1,4,16
61,888,97,1700205,2,240,1,6,20,17
62,888,97,1700215,2,240,1,6,20,18
63,888,97,1700205,0,320,1,8,60,19
64,888,97,1700215,0,320,1,8,60,20
65,888,28,600002,0,0,1,0,1,21
66,888,28,600002,5,20,1,1,4,22
67,888,28,600002,4,40,1,2,4,23
68,888,28,600002,3,100,1,5,20,24
69,888,28,600002,2,120,1,6,20,25
70,888,28,600002,1,140,1,7,60,26
71,888,28,600002,0,160,1,8,60,27
72,888,96,2300003,0,0,1,0,1,28
73,888,96,2300003,5,40,1,1,4,29
74,888,96,1700205,5,40,1,1,4,30
75,888,96,2300003,2,200,1,5,20,31
76,888,96,1700205,2,240,1,6,20,32
77,888,96,2300003,0,280,1,7,60,33
78,888,96,1700205,0,320,1,8,60,34
79,888,37,1700203,0,0,2,0,1,35
80,888,37,2100005,6,40,1,1,4,36
81,888,37,2300003,6,40,1,1,4,37
82,888,37,1700205,6,40,1,1,4,38
83,888,37,2100005,3,200,1,5,20,39
84,888,37,2300003,3,240,1,6,20,40
85,888,37,1700205,3,280,1,7,20,41
86,888,37,2100005,0,280,1,7,40,42
87,888,37,2300003,0,320,1,8,40,43
88,888,37,1700205,0,360,1,9,40,44
